customer_id,region,join_date
1,CA,2020-01-01 00:00:00
2,unknown,
3,CA,2020-01-01 02:00:00
4,NY,2020-01-01 03:00:00
5,CA,
6,New York,
7,New York,
8,CA,2020-01-01 07:00:00
9,California,2020-01-01 08:00:00
10,NY,2020-01-01 09:00:00
11,NY,2020-01-01 10:00:00
12,CA,2020-01-01 11:00:00
13,CA,2020-01-01 12:00:00
14,NY,2020-01-01 13:00:00
15,,2020-01-01 14:00:00
16,NY,2020-01-01 15:00:00
17,NY,2020-01-01 16:00:00
18,NY,2020-01-01 17:00:00
19,,
20,CA,2020-01-01 19:00:00
21,unknown,2020-01-01 20:00:00
22,,
23,CA,2020-01-01 22:00:00
24,NY,2020-01-01 23:00:00
25,unknown,2020-01-02 00:00:00
26,,2020-01-02 01:00:00
27,NY,2020-01-02 02:00:00
28,NY,2020-01-02 03:00:00
29,CA,2020-01-02 04:00:00
30,,
31,California,2020-01-02 06:00:00
32,,2020-01-02 07:00:00
33,NY,2020-01-02 08:00:00
34,NY,2020-01-02 09:00:00
35,NY,2020-01-02 10:00:00
36,,2020-01-02 11:00:00
37,New York,2020-01-02 12:00:00
38,California,2020-01-02 13:00:00
39,New York,2020-01-02 14:00:00
40,New York,2020-01-02 15:00:00
41,CA,2020-01-02 16:00:00
42,California,2020-01-02 17:00:00
43,California,2020-01-02 18:00:00
44,California,2020-01-02 19:00:00
45,CA,2020-01-02 20:00:00
46,New York,2020-01-02 21:00:00
47,California,
48,,2020-01-02 23:00:00
49,New York,2020-01-03 00:00:00
50,NY,2020-01-03 01:00:00
51,NY,2020-01-03 02:00:00
52,California,2020-01-03 03:00:00
53,California,2020-01-03 04:00:00
54,NY,2020-01-03 05:00:00
55,unknown,2020-01-03 06:00:00
56,unknown,2020-01-03 07:00:00
57,unknown,2020-01-03 08:00:00
58,NY,2020-01-03 09:00:00
59,unknown,2020-01-03 10:00:00
60,unknown,2020-01-03 11:00:00
61,New York,2020-01-03 12:00:00
62,CA,2020-01-03 13:00:00
63,New York,2020-01-03 14:00:00
64,New York,2020-01-03 15:00:00
65,NY,2020-01-03 16:00:00
66,NY,2020-01-03 17:00:00
67,unknown,2020-01-03 18:00:00
68,,2020-01-03 19:00:00
69,unknown,2020-01-03 20:00:00
70,CA,2020-01-03 21:00:00
71,New York,2020-01-03 22:00:00
72,NY,2020-01-03 23:00:00
73,NY,2020-01-04 00:00:00
74,,
75,NY,2020-01-04 02:00:00
76,,2020-01-04 03:00:00
77,NY,
78,NY,2020-01-04 05:00:00
79,,
80,CA,
81,unknown,2020-01-04 08:00:00
82,,2020-01-04 09:00:00
83,New York,2020-01-04 10:00:00
84,New York,2020-01-04 11:00:00
85,CA,2020-01-04 12:00:00
86,,2020-01-04 13:00:00
87,New York,2020-01-04 14:00:00
88,NY,2020-01-04 15:00:00
89,NY,2020-01-04 16:00:00
90,New York,
91,unknown,2020-01-04 18:00:00
92,unknown,2020-01-04 19:00:00
93,New York,2020-01-04 20:00:00
94,unknown,2020-01-04 21:00:00
95,CA,2020-01-04 22:00:00
96,unknown,2020-01-04 23:00:00
97,unknown,2020-01-05 00:00:00
98,CA,2020-01-05 01:00:00
99,CA,
100,,2020-01-05 03:00:00
101,CA,2020-01-05 04:00:00
102,California,2020-01-05 05:00:00
103,,2020-01-05 06:00:00
104,NY,2020-01-05 07:00:00
105,,2020-01-05 08:00:00
106,California,2020-01-05 09:00:00
107,unknown,2020-01-05 10:00:00
108,unknown,
109,unknown,2020-01-05 12:00:00
110,unknown,2020-01-05 13:00:00
111,California,2020-01-05 14:00:00
112,NY,2020-01-05 15:00:00
113,California,2020-01-05 16:00:00
114,,2020-01-05 17:00:00
115,NY,2020-01-05 18:00:00
116,NY,2020-01-05 19:00:00
117,California,2020-01-05 20:00:00
118,NY,2020-01-05 21:00:00
119,unknown,
120,unknown,2020-01-05 23:00:00
121,,2020-01-06 00:00:00
